 ##################################################################################
 # [fnlo-tk-cppread] Evaluating table: NNLO.ptw.tab.gz
 # [fnlo-tk-cppread] Using PDF set   : NNPDF31_nnlo_as_0118
 # [fnlo-tk-cppread] If possible, will try to do 3 scale factor variations.
 # [fnlo-tk-cppread] Using alpha_s evolution code: LHAPDF
 # [fnlo-tk-cppread] Preparing unnormalized cross sections,
 # [fnlo-tk-cppread] Using scale definition kScale1
 # [fnlo-tk-cppread] Using central scale factor of sclfac = 0.0523832
 # [fnlo-tk-cppread] No request for no. of flavours, using default of LHAPDF or Nf = 5.
 # [fnlo-tk-cppread] No request for no. of loops, using default of LHAPDF or NLoop = 2.
 # [fnlo-tk-cppread] No request for value of alpha_s(M_Z), using default of LHAPDF or asMz = 0.118.
 # [fnlo-tk-cppread] No request for value of M_Z, using default of LHAPDF or Mz = 91.1876.
 # [fnlo-tk-cppread] No request for Ecms, using default as defined in grid.
 # [fnlo-tk-cppread] Using verbosity level: WARNING
 ##################################################################################

LHAPDF 6.5.3 loading /cvmfs/sft.cern.ch/lcg/external/lhapdfsets/current/NNPDF31_nnlo_as_0118/NNPDF31_nnlo_as_0118_0000.dat
NNPDF31_nnlo_as_0118 PDF set, member #0, version 1; LHAPDF ID = 303600
LHAPDF 6.5.3 loading /cvmfs/sft.cern.ch/lcg/external/lhapdfsets/current/NNPDF31_nnlo_as_0118/NNPDF31_nnlo_as_0118_0000.dat
NNPDF31_nnlo_as_0118 PDF set, member #0, version 1; LHAPDF ID = 303600

 ##################################################################################################################################################################
 # [fnlo-tk-cppread] Calculate my cross sections
 ##################################################################################################################################################################
 #=================================================================================================================================================================
 # My Cross Sections
 # The scale factors xmur, xmuf chosen here are:      0.052,      0.052
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
 #IObs  BinSize  IODimO  [ ptj1_[GeV],       ]  < mw_[GeV]   >  LO_cross_section   NLO_cross_section  NNLO_cross_section   KNLO      KNNLO
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     1  25.00         1   0.000       25.00      3.704          0.00000000000E+00  6.11583939953E+03  1.06676411468E+03   -1.00000   0.17443
     2  25.00         2   25.00       50.00      4.211          6.71769718218E+03  8.85901330363E+03  3.47125537677E+03    1.31876   0.39183
     3  25.00         3   50.00       75.00      4.211          2.67910756831E+03  5.33140268775E+03  1.72563405465E+03    1.98999   0.32367
     4  25.00         4   75.00       100.0      4.211          1.10581896323E+03  2.19219203564E+03  4.49946393839E+02    1.98241   0.20525
     5  25.00         5   100.0       125.0      4.211          5.42632729508E+02  1.02316866688E+03  1.61546540519E+01    1.88556   0.01579
     6  25.00         6   125.0       150.0      4.211          2.93556946247E+02  5.22162777923E+02 -7.71771243442E+01    1.77874  -0.14780
     7  25.00         7   150.0       175.0      4.211          1.69994732284E+02  2.77652383949E+02 -9.22946838031E+01    1.63330  -0.33241
     8  25.00         8   175.0       200.0      4.211          1.03713812238E+02  1.54134884211E+02 -8.94621751887E+01    1.48616  -0.58041
     9  50.00         9   200.0       250.0      4.211          5.46100343943E+01  7.03276625957E+01 -5.97221080642E+01    1.28782  -0.84920
    10  50.00        10   250.0       300.0      4.211          2.47785990054E+01  2.50479674997E+01 -3.18223714470E+01    1.01087  -1.27046
    11  50.00        11   300.0       350.0      4.211          1.23100985623E+01  9.15616476975E+00 -1.63064123693E+01    0.74379  -1.78092
    12  50.00        12   350.0       400.0      4.211          6.53322564970E+00  3.13492719139E+00 -8.44656773529E+00    0.47984  -2.69434
    13  50.00        13   400.0       450.0      4.211          3.65270846958E+00  8.66340663277E-01 -4.15497843180E+00    0.23718  -4.79601
    14  50.00        14   450.0       500.0      4.211          2.12972665689E+00  5.55407051249E-02 -2.02987966809E+00    0.02608 -36.54760
    15  100.0        15   500.0       600.0      4.211          1.03976692193E+00 -2.89317492122E-01 -7.44230986523E-01   -0.27825   2.57237
    16  200.0        16   600.0       800.0      4.211          2.96063015058E-01 -2.18429082126E-01  1.12663568314E-02   -0.73778  -0.05158
 #=================================================================================================================================================================
 # My Cross Sections
 # The scale factors xmur, xmuf chosen here are:      0.026,      0.026
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
 #IObs  BinSize  IODimO  [ ptj1_[GeV],       ]  < mw_[GeV]   >  LO_cross_section   NLO_cross_section  NNLO_cross_section   KNLO      KNNLO
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     1  25.00         1   0.000       25.00      1.852          0.00000000000E+00  8.15345310588E+03  9.21029616634E+02   -1.00000   0.11296
     2  25.00         2   25.00       50.00      2.105          5.73742226111E+03  1.27011171189E+04  1.05587198358E+02    2.21373   0.00831
     3  25.00         3   50.00       75.00      2.105          2.40076870644E+03  7.71211153784E+03 -7.38144571581E+02    3.21235  -0.09571
     4  25.00         4   75.00       100.0      2.105          1.04777471473E+03  3.38624009748E+03 -1.24332022541E+03    3.23184  -0.36717
     5  25.00         5   100.0       125.0      2.105          5.41781696091E+02  1.67193506524E+03 -1.19959317239E+03    3.08599  -0.71749
     6  25.00         6   125.0       150.0      2.105          3.07367614120E+02  8.87308936741E+02 -9.25158015966E+02    2.88680  -1.04266
     7  25.00         7   150.0       175.0      2.105          1.85803750347E+02  4.88957494488E+02 -6.85324167347E+02    2.63158  -1.40160
     8  25.00         8   175.0       200.0      2.105          1.17894792404E+02  2.79479310808E+02 -5.18741690471E+02    2.37058  -1.85610
     9  50.00         9   200.0       250.0      2.105          6.51906262859E+01  1.31556618347E+02 -3.18473557866E+02    2.01803  -2.42081
    10  50.00        10   250.0       300.0      2.105          3.14504213457E+01  4.78611909038E+01 -1.63127417474E+02    1.52180  -3.40834
    11  50.00        11   300.0       350.0      2.105          1.64822533018E+01  1.73880152279E+01 -8.40376507017E+01    1.05495  -4.83308
    12  50.00        12   350.0       400.0      2.105          9.16023189985E+00  5.52099943491E+00 -4.39315563866E+01    0.60271  -7.95717
    13  50.00        13   400.0       450.0      2.105          5.33672394043E+00  9.93827719438E-01 -2.25231511049E+01    0.18622 -22.66303
    14  50.00        14   450.0       500.0      2.105          3.22822236027E+00 -5.74520845687E-01 -1.14751259421E+01   -0.17797  19.97338
    15  100.0        15   500.0       600.0      2.105          1.64946444109E+00 -1.12981144891E+00 -4.40150372146E+00   -0.68496   3.89579
    16  200.0        16   600.0       800.0      2.105          5.04726310034E-01 -7.32907999132E-01 -2.02659710630E-01   -1.45209   0.27651
 #=================================================================================================================================================================
 # My Cross Sections
 # The scale factors xmur, xmuf chosen here are:      0.105,      0.105
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
 #IObs  BinSize  IODimO  [ ptj1_[GeV],       ]  < mw_[GeV]   >  LO_cross_section   NLO_cross_section  NNLO_cross_section   KNLO      KNNLO
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     1  25.00         1   0.000       25.00      7.408          0.00000000000E+00  4.64883768351E+03  1.98940752315E+03   -1.00000   0.42794
     2  25.00         2   25.00       50.00      8.422          6.95350786536E+03  7.40873004050E+03  4.98326767726E+03    1.06547   0.67262
     3  25.00         3   50.00       75.00      8.422          2.67218555146E+03  4.29117221692E+03  2.73481449491E+03    1.60587   0.63731
     4  25.00         4   75.00       100.0      8.422          1.06045582313E+03  1.70329797429E+03  1.01233625088E+03    1.60619   0.59434
     5  25.00         5   100.0       125.0      8.422          5.02335628734E+02  7.75256492630E+02  3.82462179608E+02    1.54330   0.49334
     6  25.00         6   125.0       150.0      8.422          2.63311381381E+02  3.89956274902E+02  1.60170656671E+02    1.48097   0.41074
     7  25.00         7   150.0       175.0      8.422          1.48211438753E+02  2.05618283858E+02  6.58615109781E+01    1.38733   0.32031
     8  25.00         8   175.0       200.0      8.422          8.81225978227E+01  1.13906085731E+02  2.12898936251E+01    1.29259   0.18691
     9  50.00         9   200.0       250.0      8.422          4.49415201011E+01  5.23731897330E+01  3.66313423193E+00    1.16536   0.06994
    10  50.00        10   250.0       300.0      8.422          1.95826870700E+01  1.93338084678E+01 -1.62115874120E+00    0.98729  -0.08385
    11  50.00        11   300.0       350.0      8.422          9.39211470848E+00  7.62999037362E+00 -1.62296457839E+00    0.81238  -0.21271
    12  50.00        12   350.0       400.0      8.422          4.83476723841E+00  3.07845425017E+00 -1.11939699741E+00    0.63673  -0.36362
    13  50.00        13   400.0       450.0      8.422          2.63006854578E+00  1.25083269823E+00 -5.77023500109E-01    0.47559  -0.46131
    14  50.00        14   450.0       500.0      8.422          1.49591575435E+00  5.02392472921E-01 -2.92522402408E-01    0.33584  -0.58226
    15  100.0        15   500.0       600.0      8.422          7.08355996252E-01  9.15031715746E-02 -1.21298555698E-01    0.12918  -1.32562
    16  200.0        16   600.0       800.0      8.422          1.92071065460E-01 -3.45511957629E-02  1.23916917368E-02   -0.17989  -0.35865
